countryCode,thematicIdIdentifier,thematicIdIdentifierScheme,monitoringSiteIdentifier,monitoringSiteIdentifierScheme,monitoringSiteName,waterBodyIdentifier,waterBodyIdentifierScheme,waterBodyName,specialisedZoneType,naturalAWBHMWB,reservoir,surfaceWaterBodyTypeCode,subUnitIdentifier,subUnitIdentifierScheme,subUnitName,rbdIdentifier,rbdIdentifierScheme,rbdName,confidentialityStatus,lon,lat,statusCode
"CH","CHSF-2053","eionetMonitoringSiteCode","CHSF-2053","eionetMonitoringSiteCode","DRANCE - MARTIGNY, PONT DE ROSSETTAN","CHRWB-2043","eionetSurfaceWaterBodyCode","DRANSE","riverWaterBody","","","","CHSU-2","eionetSubUnitCode","RHONE","CHRBD-2","eionetRBDCode","RHONE","F","7.06274","46.09768","stable"
"CH","CHSF-2205","eionetMonitoringSiteCode","CHSF-2205","eionetMonitoringSiteCode","AARE - UNTERSIGGENTHAL, STILLI","CHRWB-2079","eionetSurfaceWaterBodyCode","AARE BIELERSEE-RHEIN","riverWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","8.23481","47.51663","stable"
"CH","CHSF-2485","eionetMonitoringSiteCode","CHSF-2485","eionetMonitoringSiteCode","ALLAINE - BONCOURT, FRONTIERE","CHRWB-2084","eionetSurfaceWaterBodyCode","ALLAINE","riverWaterBody","","","","CHSU-2","eionetSubUnitCode","RHONE","CHRBD-2","eionetRBDCode","RHONE","F","7.01166","47.50077","stable"
"CH","CHSF-2018","eionetMonitoringSiteCode","CHSF-2018","eionetMonitoringSiteCode","REUSS - MELLINGEN","CHRWB-2252","eionetSurfaceWaterBodyCode","REUSS UNTERLAUF","riverWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","8.27128","47.42103","stable"
"CH","CHSF-2415","eionetMonitoringSiteCode","CHSF-2415","eionetMonitoringSiteCode","GLATT - RHEINSFELDEN","CHRWB-4441","eionetSurfaceWaterBodyCode","GLATT","riverWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","8.47583","47.57354","stable"
"CH","CHSF-2019","eionetMonitoringSiteCode","CHSF-2019","eionetMonitoringSiteCode","AARE - BRIENZWILER","CHRWB-2024","eionetSurfaceWaterBodyCode","AARE OBERLAUF","riverWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","8.09204","46.74574","stable"
"CH","CHSF-2312","eionetMonitoringSiteCode","CHSF-2312","eionetMonitoringSiteCode","AACH - SALMSACH, HUNGERBÜHL","CHRWB-2056","eionetSurfaceWaterBodyCode","AACH (ROMANSHORN)","riverWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","9.35723","47.55043","stable"
"CH","CHSF-2170","eionetMonitoringSiteCode","CHSF-2170","eionetMonitoringSiteCode","ARVE - GENÈVE, BOUT DU MONDE","CHRWB-2007","eionetSurfaceWaterBodyCode","ARVE","riverWaterBody","","","","CHSU-2","eionetSubUnitCode","RHONE","CHRBD-2","eionetRBDCode","RHONE","F","6.15936","46.18029","stable"
"CH","CHRW-6268","eionetMonitoringSiteCode","CHRW-6268","eionetMonitoringSiteCode","AMONT MAUGUETTAZ","CHRWB-4448","eionetSurfaceWaterBodyCode","RUISSEAU DES VAUX","riverWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","6.72041","46.78035","stable"
"CH","CHSF-2479","eionetMonitoringSiteCode","CHSF-2479","eionetMonitoringSiteCode","SORNE - DELÉMONT","CHRWB-2169","eionetSurfaceWaterBodyCode","SORNE","riverWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","7.35284","47.36742","stable"
"CH","CHLW-1592","eionetMonitoringSiteCode","CHLW-1592","eionetMonitoringSiteCode","GREIFENSEE","CHLWB-3004","eionetSurfaceWaterBodyCode","GREIFENSEE","lakeWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","8.67809","47.34987","stable"
"CH","CHNTG13","eionetMonitoringSiteCode","CHNTG13","eionetMonitoringSiteCode","GIUBIASCO","CH6101","eionetGroundWaterBodyCode","LEVENTINA","groundWaterBody","","","","","","","CHRBD-4","eionetRBDCode","PO","F","8.97504","46.16728","stable"
"CH","CHRW-1181","eionetMonitoringSiteCode","CHRW-1181","eionetMonitoringSiteCode","LITTAU-REUSSBÜHL","CHRWB-2100","eionetSurfaceWaterBodyCode","KLEINE EMME","riverWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","F","8.28408","47.06671","stable"
